gameid,playerid,rounds
162,596,28
2670,597,75
30,598,263
249,598,87
2670,599,384
1985,599,2112
367,599,1591
2323,599,41
1449,600,4
12,601,1
2001,602,511
485,603,5
1657,603,6
1985,603,7
363,604,1395
1886,604,25
1411,605,16
1431,606,70
1017,607,162
406,607,3727
2308,608,183
620,609,1
1411,610,1254
2547,610,298
986,611,2545
1657,612,44
1985,613,23
1257,613,136
1223,613,118
1657,613,5
1494,613,372
508,614,30
845,614,44
1657,615,180
1713,616,7
819,617,27
1657,618,4
821,619,69
508,619,1
2665,620,414
950,620,16
12,620,1
946,620,57
1485,621,18
1364,622,90
467,623,146
1886,623,396
508,624,296
1411,625,3
1985,626,66
1017,626,1325
1657,627,4
1657,628,0
30,629,335
1356,629,385
1356,630,8
939,631,65
164,631,92
1985,631,20
1257,632,978
797,632,506
452,632,691
1356,632,300
1485,632,51
2090,633,30
758,633,64
162,633,4772
2663,633,238
2554,633,8
2238,634,110
443,634,2
1657,635,4
1017,635,331
2885,635,617
1657,636,11
1657,637,1
845,638,2
164,638,70
2146,638,27
330,638,224
1657,639,16
845,640,17
508,640,22
1606,641,5
1495,641,26
12,641,65
406,641,23
2881,641,102
868,641,164
1129,641,13
1150,641,3
226,641,18
11,641,6
819,641,21
979,641,14
1985,642,1
508,642,2
819,643,27
1886,644,4267
2734,644,218
508,644,169
2241,644,325
2885,644,95
1411,645,7
2522,645,1
1657,645,0
191,646,7
1657,646,28
819,647,17
1657,647,3
628,647,11
2671,648,20
191,648,321
30,648,64
98,649,477
1713,650,363
46,650,144
406,651,186
191,652,279
443,653,11
1500,654,1
2238,654,157
1356,655,177
1712,656,103
819,657,3
1449,658,1
508,658,22
272,658,7
1119,658,8
164,658,9
1886,659,14
1525,660,461
825,660,2066
2557,661,367
1713,662,676
981,663,27
818,663,160
406,663,47
2665,663,33
1257,663,67
2881,663,35
1657,664,11
2148,664,67
939,665,225
845,666,11
819,666,3
1525,667,104
1129,668,99
1713,668,43
1257,668,57
981,668,13
1606,668,181
819,668,10
1657,668,13
1492,668,103
1277,668,3
12,668,49
1449,668,7
1934,668,28
845,668,228
1886,669,56
724,670,427
1431,670,209
2238,671,136
2220,671,83
2676,671,5
249,671,249
2681,671,85
2257,671,69
681,671,235
2109,671,59
408,671,60
162,671,40
2229,671,83
339,671,92
508,672,184
164,672,42
1934,672,20
367,672,10
1411,672,14
819,673,7
1657,674,59
1953,675,88
12,676,4
164,677,135
1985,678,215
443,678,113
822,678,12
1183,678,391
1713,678,69
1889,678,222
1502,678,130
2670,678,60
2323,678,121
191,678,287
2678,678,43
910,678,77
1886,678,155
2238,678,19
2148,678,63
428,678,17
1934,678,95
883,678,73
2669,678,47
508,678,43
2958,678,8
821,678,45
16,678,25
1358,678,72
320,678,10
1449,679,13
508,680,13
14,681,10
820,681,5
435,681,1
1657,681,4
967,681,1
2213,682,173
2299,682,9
819,683,8
686,683,19
1434,684,51
735,684,129
1886,684,126
162,684,158
2090,684,37
741,684,70
1943,685,7
1485,685,586
1485,686,33
330,686,74
2669,687,169
1562,688,27
1449,688,35
1485,688,594
1886,689,20
104,689,1
1657,690,78
1607,691,113
2554,692,8
1886,692,663
46,692,439
2885,692,6
508,692,21
2678,692,78
986,692,23
1482,692,119
305,692,1045
2881,692,583
1494,693,4
78,694,260
819,694,18
1657,694,29
1657,695,3
825,696,5
1657,696,33
1886,697,591
1657,698,5
1482,699,332
600,699,42
2678,700,56
508,700,492
2669,700,159
2249,700,40
508,701,538
1884,702,15
822,702,536
363,702,39
1358,702,1594
1886,702,1518
